,job title,company,location,country,job_type_list,workplace,career_level,url
0,Senior Full-Stack Developer,Caveo Financial Services,6th of October Giza,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/ug9hgmFzVhjx-Senior-Full-Stack-Developer-Caveo-Financial-Services-Giza-Egypt
1,Detergent Raw Material Sales Manager - Alexandria,Madar Group,Alexandria,Egypt,Full Time,On-site,Manager,https://wuzzuf.net/jobs/p/5Pp4LN1PxB0L-Detergent-Raw-Material-Sales-Manager---Alexandria-Madar-Group-Alexandria-Egypt
2,Accountant,Confidential,Nasr City Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/0et2bj7R1NVd-Accountant-Cairo-Egypt
3,Access Control Management Officer,Confidential,Cairo,Egypt,Full Time,On-site,Entry Level,https://wuzzuf.net/jobs/p/gBhZrHUEasM6-Access-Control-Management-Officer-Cairo-Egypt
4,Accountant,Crafted,Sheikh Zayed Giza,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/yiFip9ZnqkXx-Accountant-Crafted-Giza-Egypt
5,Art Director,El Ezaby Pharmacy,Cairo,Egypt,Full Time,On-site,Senior Management,https://wuzzuf.net/jobs/p/WNXmEOjWm4pP-Art-Director-El-Ezaby-Pharmacy-Cairo-Egypt
6,Procurement Specialist,Crafted,Sheikh Zayed Giza,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/2rspF1f9szZE-Procurement-Specialist-Crafted-Giza-Egypt
7,Production Engineer for TEXTILE FURNITURE,El Bokhary Tex,10th of Ramadan City Sharqia,Egypt,Full Time,On-site,Entry Level,https://wuzzuf.net/jobs/p/aETWqtj91AtI-Production-Engineer-for-TEXTILE-FURNITURE-El-Bokhary-Tex-Sharqia-Egypt
8,Sales Coordinator - logistics,Eshratex,Alexandria,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/OU8SI410Ze9J-Sales-Coordinator---logistics-Eshratex-Alexandria-Egypt
9,Electrical Engineer,Eshratex,Bourj Alarab Alexandria,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/CZL3YGGDyJUS-Electrical-Engineer-Eshratex-Alexandria-Egypt
10,Mechanical Engineer,Eshratex,Bourj Alarab Alexandria,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/frdf4wqXcQFi-Mechanical-Engineer-Eshratex-Alexandria-Egypt
11,Marketing Specialist,"The Micro, Small & Medium Enterprise Development Agency",Dokki Giza,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/sUlKzvO65P6J-Marketing-Specialist-The-Micro-Small-Medium-Enterprise-Development-Agency-Giza-Egypt
12,Operation role in hospitality,Xurustays,Heliopolis Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/vT8VuXEroFhC-Operation-role-in-hospitality-Xurustays-Cairo-Egypt
13,Sales Administrator,Champions Stationary,Cairo,Egypt,Full Time,On-site,Entry Level,https://wuzzuf.net/jobs/p/sPfw7fzBhEii-Sales-Administrator-Champions-Stationary-Cairo-Egypt
14,Data Entry – Product Submission,Dora Management Solutions,Sheraton Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/pLqUOgLplrNu-Data-Entry-%E2%80%93-Product-Submission-Dora-Management-Solutions-Cairo-Egypt
15,System Platform Engineer,Confidential,Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/zKZG1rMlDZId-System-Platform-Engineer-Cairo-Egypt
16,Account Developer (Marsa Alam) (Outdoor-B2B-HORECA),Fine Hygienic Holding,South Sinai,Egypt,Full Time,On-site,Entry Level,https://wuzzuf.net/jobs/p/4pJu62ix3JeU-Account-Developer-Marsa-Alam-Outdoor-B2B-HORECA-Fine-Hygienic-Holding-South-Sinai-Egypt
17,Sales Coordinator,Tredco,10th of Ramadan City Sharqia,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/hcQPJDpC7DLw-Sales-Coordinator-Tredco-Sharqia-Egypt
18,Business Analyst,GCSSD,Heliopolis Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/NuE2nN0IkjNU-Business-Analyst-GCSSD-Cairo-Egypt
19,QC Supervisor - Raw material,AUG Pharma,6th of October Giza,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/2PSumfilEVdK-QC-Supervisor---Raw-material-AUG-Pharma-Giza-Egypt
20,Senior HSE Specialist,Eagle Chemicals,6th of October Giza,Egypt,Full Time,On-site,Entry Level,https://wuzzuf.net/jobs/p/FVx1SHanqqWz-Senior-HSE-Specialist-Eagle-Chemicals-Giza-Egypt
21,SEO Content Writer,virksam,Nasr City Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/emImdXXO4z0D-SEO-Content-Writer-virksam-Cairo-Egypt
22,VOIS - UK account - International Account Advisor - Cairo,_VOIS Egypt,Cairo,Egypt,Full Time,Hybrid,Entry Level,https://wuzzuf.net/jobs/p/yVksmelyqFNW-VOIS---UK-account---International-Account-Advisor---Cairo-VOIS-Egypt-Cairo-Egypt
23,HSE Officer - Manufacturing,EGIC,Beni Suef Beni Suef,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/XtO9OFhYHpfo-HSE-Officer---Manufacturing-EGIC-Beni-Suef-Egypt
24,Electrical Maintenance Engineer - Benisuef,EGIC,Beni Suef Beni Suef,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/D2Zu2FArbjmI-Electrical-Maintenance-Engineer---Benisuef-EGIC-Beni-Suef-Egypt
25,Accountant Receivable In Travel Agent,Cairo Transport & Touring,Downtown Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/2aTMJCplC36U-Accountant-Receivable-In-Travel-Agent-Cairo-Transport-Touring-Cairo-Egypt
26,Senior Data Engineer,Nahdet Misr Publishing Group,Mohandessin Giza,Egypt,Full Time,Hybrid,Experienced,https://wuzzuf.net/jobs/p/2nVc88dNu3aw-Senior-Data-Engineer-Nahdet-Misr-Publishing-Group-Giza-Egypt
27,SMB Account (Business Account) fluent English speakers Etisalat UAE,Etisalat Egypt,Maadi Cairo,Egypt,Full Time,On-site,Entry Level,https://wuzzuf.net/jobs/p/HeL1DNiPwRWh-SMB-Account-Business-Account-fluent-English-speakers-Etisalat-UAE-Etisalat-Egypt-Cairo-Egypt
28,MAUI Cross-Platform Mobile Apps Developer,Compu master,Maadi Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/qsgPBA0941Z5-MAUI-Cross-Platform-Mobile-Apps-Developer-Compu-master-Cairo-Egypt
29,Product Reviewer / TV Presenter,Alarabia Group,10th of Ramadan City Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/F1VGBeWjHJ2o-Product-Reviewer-TV-Presenter-Alarabia-Group-Cairo-Egypt
30,Recruitment Coordinator.,Danat Travels,Cairo,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/iiarl1wngN22-Recruitment-Coordinator-Danat-Travels-Cairo-Egypt
31,Sales Engineer - Assiut,Jazeera Paints,Assuit Assiut,Egypt,Full Time,On-site,Experienced,https://wuzzuf.net/jobs/p/K5ZPMfD9PudV-Sales-Engineer---Assiut-Jazeera-Paints-Assiut-Egypt
